Ort;grund;gym;ober;kiga;spielplatz;schwimmbad;sportplatz;sporthalle;
Althen-Kleinpösna;0;0;0;2;3;0;1;0;
Altlindenau;2;1;1;10;7;0;0;0;
Anger-Crottendorf;3;0;0;6;5;0;0;0;
Baalsdorf;0;0;0;1;2;0;0;0;
Böhlitz-Ehrenberg;2;0;1;5;7;0;3;0;
Burghausen-Rückmarsdorf;1;0;0;2;3;0;2;0;
Connewitz;1;1;1;9;9;0;0;0;
Dölitz-Dösen;2;0;0;6;2;0;0;0;
Engelsdorf;1;1;0;6;15;0;1;0;
Eutritzsch;3;0;0;11;4;1;2;1;
Gohlis-Mitte;0;0;1;4;4;0;0;0;
Gohlis-Nord;3;0;0;9;1;0;2;0;
Gohlis-Süd;3;2;2;11;2;1;1;0;
Großzschocher;1;0;1;5;6;0;0;1;
Grünau-Mitte;2;0;1;6;10;1;1;0;
Grünau-Nord;1;1;1;6;8;0;1;0;
Grünau-Ost;3;1;1;7;6;0;1;0;
Grünau-Siedlung;0;0;0;0;1;0;0;0;
Hartmannsdorf-Knautnaundorf;0;0;0;3;3;0;2;0;
Heiterblick;0;1;0;1;2;0;0;0;
Holzhausen;1;0;0;2;5;0;2;1;
Kleinzschocher;0;1;0;6;5;1;3;1;
Knautkleeberg-Knauthain;1;0;0;2;5;0;1;1;
Lausen-Grünau;2;0;0;6;6;0;1;1;
Leutzsch;1;0;1;8;5;1;3;0;
Liebertwolkwitz;1;0;1;2;9;0;1;0;
Lindenau;0;0;1;4;5;0;4;2;
Lindenthal;1;0;0;3;3;1;1;0;
Lößnig;2;1;1;9;8;0;0;0;
Lützschena-Stahmeln;1;0;0;2;4;0;2;0;
Marienbrunn;1;0;0;4;3;0;0;0;
Meusdorf;1;0;0;1;2;0;0;1;
Miltitz;1;0;0;1;1;0;1;0;
Mockau-Nord;1;1;0;4;2;0;0;0;
Mockau-Süd;1;0;0;3;0;0;4;0;
Möckern;2;0;0;8;3;0;2;0;
Mölkau;1;0;1;4;1;0;1;1;
Neulindenau;1;0;0;7;2;0;0;0;
Neustadt-Neuschönefeld;3;0;0;8;11;0;0;1;
Paunsdorf;3;0;1;10;5;1;3;0;
Plagwitz;2;0;1;9;4;1;0;1;
Plaußig-Portitz;0;0;0;2;4;0;1;0;
Probstheida;1;0;0;4;5;0;2;0;
Reudnitz-Thonberg;2;1;1;8;14;0;1;1;
Schleußig;2;0;0;4;3;0;2;0;
Schönau;1;0;0;6;9;0;0;1;
Schönefeld-Abtnaundorf;1;0;0;5;4;1;0;0;
Schönefeld-Ost;1;1;1;7;4;1;1;0;
Seehausen;1;0;0;2;3;0;1;0;
Sellerhausen-Stünz;2;1;0;7;6;0;2;1;
Stötteritz;1;1;0;8;13;2;1;2;
Südvorstadt;1;1;1;4;7;0;0;0;
Thekla;0;0;0;1;4;0;2;0;
Volkmarsdorf;0;0;1;3;4;0;0;1;
Wahren;1;0;1;3;5;0;1;0;
Wiederitzsch;1;0;1;4;8;0;1;0;
Zentrum;0;0;0;0;2;0;0;3;
Zentrum-Nord;0;1;0;3;2;0;0;0;
Zentrum-Nordwest;1;0;1;3;6;0;2;1;
Zentrum-Ost;1;1;0;5;0;0;0;0;
Zentrum-Süd;2;1;3;8;6;0;1;0;
Zentrum-Südost;2;1;1;12;7;1;0;0;
Zentrum-West;2;2;0;7;2;1;1;1;
